Konten,cleaned_text,tokens,stemmed_tokens,stemmed_text
Presiden Joko Widodo berbicara terkait kualitas udara di beberapa kota. Ia yakin kualitas udara di IKN nantinya akan lebih baik dan berada di rentang 0-20.,presiden joko widodo berbicara terkait kualitas udara  beberapa kota ia yakin kualitas udara  ikn nantinya akan lebih baik  berada  rentang,"['presiden', 'joko', 'widodo', 'berbicara', 'terkait', 'kualitas', 'udara', 'kota', 'kualitas', 'udara', 'ikn', 'rentang']","['presiden', 'joko', 'widodo', 'bicara', 'kait', 'kualitas', 'udara', 'kota', 'kualitas', 'udara', 'ikn', 'rentang']",presiden joko widodo bicara kait kualitas udara kota kualitas udara ikn rentang
Tercatat baru ada 13 SPKU yang terbangun hingga 2023. Kemudian SPKU di Jakarta baru ditambah kembali pada 2023 sebanyak sembilan unit.,tercatat baru ada spku  terbangun hingga kemudian spku  jakarta baru ditambah kembali pada sebanyak sembilan unit,"['tercatat', 'spku', 'terbangun', 'spku', 'jakarta', 'ditambah', 'sembilan', 'unit']","['catat', 'spku', 'bangun', 'spku', 'jakarta', 'tambah', 'sembilan', 'unit']",catat spku bangun spku jakarta tambah sembilan unit
Anggota Komisi D DPRD DKI Jakarta dari Fraksi PDI Perjuangan Yuke Yurike meminta Pemprov DKI memperbanyak kawasan rendah emisi atau low emission zone (LEZ).,anggota komisi d dprd dki jakarta dari fraksi pdi perjuangan yuke yurike meminta pemprov dki memperbanyak kawasan rendah emisi atau low emission zone lez,"['anggota', 'komisi', 'd', 'dprd', 'dki', 'jakarta', 'fraksi', 'pdi', 'perjuangan', 'yuke', 'yurike', 'pemprov', 'dki', 'memperbanyak', 'kawasan', 'rendah', 'emisi', 'low', 'emission', 'zone', 'lez']","['anggota', 'komisi', 'd', 'dprd', 'dki', 'jakarta', 'fraksi', 'pdi', 'juang', 'yuke', 'yurike', 'pemprov', 'dki', 'banyak', 'kawasan', 'rendah', 'emisi', 'low', 'emission', 'zone', 'lez']",anggota komisi d dprd dki jakarta fraksi pdi juang yuke yurike pemprov dki banyak kawasan rendah emisi low emission zone lez
Apa itu Stasiun Pemantau Kualitas Udara (SPKU) yang berhubungan dengan Indeks Standar Pencemar Udara (ISPU)? Ini fungsi dan cara kerjanya.,apa itu stasiun pemantau kualitas udara spku  berhubungan dengan indeks standar pencemar udara ispu  fungsi  cara kerjanya,"['stasiun', 'pemantau', 'kualitas', 'udara', 'spku', 'berhubungan', 'indeks', 'standar', 'pencemar', 'udara', 'ispu', 'fungsi', 'kerjanya']","['stasiun', 'pantau', 'kualitas', 'udara', 'spku', 'hubung', 'indeks', 'standar', 'cemar', 'udara', 'ispu', 'fungsi', 'kerja']",stasiun pantau kualitas udara spku hubung indeks standar cemar udara ispu fungsi kerja
Kualitas udara di Jakarta dan Tangerang Selatan (Tangsel) dilaporkan dalam kondisi tak sehat pada siang ini meski sedang memasuki long weekend.,kualitas udara  jakarta  tangerang selatan tangsel dilaporkan dalam kondisi tak sehat pada siang  meski sedang memasuki long weekend,"['kualitas', 'udara', 'jakarta', 'tangerang', 'selatan', 'tangsel', 'dilaporkan', 'kondisi', 'sehat', 'siang', 'memasuki', 'long', 'weekend']","['kualitas', 'udara', 'jakarta', 'tangerang', 'selatan', 'tangsel', 'lapor', 'kondisi', 'sehat', 'siang', 'pasuk', 'long', 'weekend']",kualitas udara jakarta tangerang selatan tangsel lapor kondisi sehat siang pasuk long weekend
"Hampir semua negara di dunia tidak memenuhi standar kualitas udara WHO, kecuali 7 negara ini.",hampir semua negara  dunia tidak memenuhi standar kualitas udara who kecuali negara,"['negara', 'dunia', 'memenuhi', 'standar', 'kualitas', 'udara', 'who', 'kecuali', 'negara']","['negara', 'dunia', 'penuh', 'standar', 'kualitas', 'udara', 'who', 'kecuali', 'negara']",negara dunia penuh standar kualitas udara who kecuali negara
"""Kualitas udara tidak mungkin berubah dalam waktu singkat,"" kata Anies.",kualitas udara tidak mungkin berubah dalam waktu singkat kata anies,"['kualitas', 'udara', 'berubah', 'singkat', 'anies']","['kualitas', 'udara', 'ubah', 'singkat', 'anies']",kualitas udara ubah singkat anies
"Ada beberapa faktor penyebab kualitas udara Jakarta dan sekitarnya buruk, akhir-akhir ini. Mulai PLTU hingga masyarakat yang hobi bakar-bakar sampah.",ada beberapa faktor penyebab kualitas udara jakarta  sekitarnya buruk akhirakhir  mulai pltu hingga masyarakat  hobi bakarbakar sampah,"['faktor', 'penyebab', 'kualitas', 'udara', 'jakarta', 'buruk', 'akhirakhir', 'pltu', 'masyarakat', 'hobi', 'bakarbakar', 'sampah']","['faktor', 'sebab', 'kualitas', 'udara', 'jakarta', 'buruk', 'akhirakhir', 'pltu', 'masyarakat', 'hobi', 'bakarbakar', 'sampah']",faktor sebab kualitas udara jakarta buruk akhirakhir pltu masyarakat hobi bakarbakar sampah
Mendag Zulhas melepas 10 kontainer ekspor kopi di Sumatera Utara (Sumut). Eskpor kopi milik PT Ujung Jaya Internasional ini akan dikirim ke Amerika Serikat.,mendag zulhas melepas kontainer ekspor kopi  sumatera utara sumut eskpor kopi milik pt ujung jaya internasional  akan dikirim ke amerika serikat,"['mendag', 'zulhas', 'melepas', 'kontainer', 'ekspor', 'kopi', 'sumatera', 'utara', 'sumut', 'eskpor', 'kopi', 'milik', 'pt', 'ujung', 'jaya', 'internasional', 'dikirim', 'amerika', 'serikat']","['mendag', 'zulhas', 'lepas', 'kontainer', 'ekspor', 'kopi', 'sumatera', 'utara', 'sumut', 'eskpor', 'kopi', 'milik', 'pt', 'ujung', 'jaya', 'internasional', 'kirim', 'amerika', 'serikat']",mendag zulhas lepas kontainer ekspor kopi sumatera utara sumut eskpor kopi milik pt ujung jaya internasional kirim amerika serikat
"Ketiga perusahaan dihentikan operasionalnya karena mencemari udara. Ketiga perusahaan itu berada di Kabupaten Bekasi, Kabupaten Serang, Kabupaten Tangerang.",ketiga perusahaan dihentikan operasionalnya karena mencemari udara ketiga perusahaan itu berada  kabupaten bekasi kabupaten serang kabupaten tangerang,"['ketiga', 'perusahaan', 'dihentikan', 'operasionalnya', 'mencemari', 'udara', 'ketiga', 'perusahaan', 'kabupaten', 'bekasi', 'kabupaten', 'serang', 'kabupaten', 'tangerang']","['tiga', 'usaha', 'henti', 'operasional', 'cari', 'udara', 'tiga', 'usaha', 'kabupaten', 'bekas', 'kabupaten', 'serang', 'kabupaten', 'tangerang']",tiga usaha henti operasional cari udara tiga usaha kabupaten bekas kabupaten serang kabupaten tangerang
